"COUNTRY,""COUNTRY_GRP"",""YES_NO"",""YEAR"",""VALUE"""
"ALB,"""",""DNP"",""2016"",""1"""
"AND,"""",""NO"",""2016"",""1"""
"ARM,"""",""NO"",""2016"",""1"""
"AUT,"""",""YES"",""2016"",""1"""
"AZE,"""",""NO"",""2016"",""1"""
"BLR,"""",""NO"",""2016"",""1"""
"BEL,"""",""NORESP"",""2016"",""1"""
"BIH,"""",""YES"",""2016"",""1"""
"BGR,"""",""NO"",""2016"",""1"""
"HRV,"""",""YES"",""2016"",""1"""
"CYP,"""",""NO"",""2016"",""1"""
"CZE,"""",""YES"",""2016"",""1"""
"DNK,"""",""YES"",""2016"",""1"""
"EST,"""",""YES"",""2016"",""1"""
"FIN,"""",""NO"",""2016"",""1"""
"FRA,"""",""YES"",""2016"",""1"""
"GEO,"""",""YES"",""2016"",""1"""
"DEU,"""",""NO"",""2016"",""1"""
"GRC,"""",""DNP"",""2016"",""1"""
"HUN,"""",""YES"",""2016"",""1"""
"ISL,"""",""YES"",""2016"",""1"""
"IRL,"""",""NO"",""2016"",""1"""
"ISR,"""",""YES"",""2016"",""1"""
"ITA,"""",""DNP"",""2016"",""1"""
"KAZ,"""",""NORESP"",""2016"",""1"""
"KGZ,"""",""YES"",""2016"",""1"""
"LVA,"""",""YES"",""2016"",""1"""
"LTU,"""",""NO"",""2016"",""1"""
"LUX,"""",""YES"",""2016"",""1"""
"MLT,"""",""NO"",""2016"",""1"""
"MKD,"""",""NO"",""2016"",""1"""
"MCO,"""",""DNP"",""2016"",""1"""
"MNE,"""",""NO"",""2016"",""1"""
"NLD,"""",""NORESP"",""2016"",""1"""
"NOR,"""",""YES"",""2016"",""1"""
"POL,"""",""NO"",""2016"",""1"""
"PRT,"""",""YES"",""2016"",""1"""
"MDA,"""",""YES"",""2016"",""1"""
"ROU,"""",""NO"",""2016"",""1"""
"RUS,"""",""YES"",""2016"",""1"""
"SMR,"""",""DNP"",""2016"",""1"""
"SRB,"""",""YES"",""2016"",""1"""
"SVK,"""",""NO"",""2016"",""1"""
"SVN,"""",""NORESP"",""2016"",""1"""
"ESP,"""",""NO"",""2016"",""1"""
"SWE,"""",""YES"",""2016"",""1"""
"CHE,"""",""YES"",""2016"",""1"""
"TJK,"""",""NO"",""2016"",""1"""
"TUR,"""",""NO"",""2016"",""1"""
"TKM,"""",""NO"",""2016"",""1"""
"UKR,"""",""NO"",""2016"",""1"""
"GBR,"""",""YES"",""2016"",""1"""
"UZB,"""",""YES"",""2016"",""1"""
",""WHO_EURO"",""YES"",""2016"",""23"""
",""EU_MEMBERS"",""YES"",""2016"",""12"""
",""EU_BEFORE_MAY2004"",""YES"",""2016"",""7"""
",""EU_AFTER_MAY2004"",""YES"",""2016"",""5"""
",""CIS"",""YES"",""2016"",""4"""
",""CARINFONET"",""YES"",""2016"",""2"""
",""SEEHN"",""YES"",""2016"",""4"""
",""NORDIC"",""YES"",""2016"",""4"""
",""SMALL"",""YES"",""2016"",""2"""
",""WHO_EURO"",""NO"",""2016"",""21"""
",""EU_MEMBERS"",""NO"",""2016"",""11"""
",""EU_BEFORE_MAY2004"",""NO"",""2016"",""4"""
",""EU_AFTER_MAY2004"",""NO"",""2016"",""7"""
",""CIS"",""NO"",""2016"",""6"""
",""CARINFONET"",""NO"",""2016"",""2"""
",""SEEHN"",""NO"",""2016"",""4"""
",""NORDIC"",""NO"",""2016"",""1"""
",""SMALL"",""NO"",""2016"",""4"""
",""WHO_EURO"",""DNP"",""2016"",""5"""
",""EU_MEMBERS"",""DNP"",""2016"",""2"""
",""EU_BEFORE_MAY2004"",""DNP"",""2016"",""2"""
",""EU_AFTER_MAY2004"",""DNP"",""2016"",""0"""
",""CIS"",""DNP"",""2016"",""0"""
",""CARINFONET"",""DNP"",""2016"",""0"""
",""SEEHN"",""DNP"",""2016"",""1"""
",""NORDIC"",""DNP"",""2016"",""0"""
",""SMALL"",""DNP"",""2016"",""2"""
",""WHO_EURO"",""NORESP"",""2016"",""4"""
",""EU_MEMBERS"",""NORESP"",""2016"",""3"""
",""EU_BEFORE_MAY2004"",""NORESP"",""2016"",""2"""
",""EU_AFTER_MAY2004"",""NORESP"",""2016"",""1"""
",""CIS"",""NORESP"",""2016"",""1"""
",""CARINFONET"",""NORESP"",""2016"",""1"""
",""SEEHN"",""NORESP"",""2016"",""0"""
",""NORDIC"",""NORESP"",""2016"",""0"""
",""SMALL"",""NORESP"",""2016"",""0"""

"Last update,""2018.05.02 16:18:03 GMT"""
"Description,""Legal access to abortion without parental consent for adolescents under 18"""
"Reference link,""https://dw.euro.who.int/api/v3/measures/CAHB_SURVEY_86?lang=En"""

Copyright
"© WHO Regional Office for Europe 2022. All rights reserved.,""https://www.who.int/about/policies/publishing/copyright"""